key,down,up
g,1721058327.3328621,1721058327.4662125
e,1721058327.5266192,1721058327.6373243
t,1721058327.6563246,1721058327.7811875
Key.space,1721058327.8941913,1721058328.0041878
o,1721058328.3242288,1721058328.3742285
u,1721058328.5942848,1721058328.7092845
t,1721058329.1778932,1721058329.2362425
Key.space,1721058329.3726006,1721058329.4710596
o,1721058329.5800881,1721058329.7030845
f,1721058330.0165598,1721058330.0915766
Key.space,1721058330.1527565,1721058330.2077835
h,1721058330.2947829,1721058330.384785
e,1721058330.4157832,1721058330.4978888
e,1721058330.7268195,1721058330.8644774
Key.backspace,1721058331.338393,1721058331.4803247
r,1721058331.556964,1721058331.6779637
e,1721058331.658964,1721058331.8589618
Key.enter,1721058333.6918566,1721058333.7508574
